p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronmooy,2019,15,130,2.249,31,36,7.942,96,15/09/1990,"173,83","72,83",Australia,Medium/Medium,"65,67","73,50","75,83",Midfielder,29,5.693,65,"87,58","57,50","32,50","24,10260983","3,0",3,0,260,89
aaronramsdale,2019,11,11,3.515,37,37,7.125,75,14/05/1998,"188,00","77,00",England,Medium/Medium,,,"65,00",Goalkeeper,21,,,,,,"21,78587596","3,0",0,,,
aaronramsey,2016,122,436,1.329,23,24,4.692,75,26/12/1990,"181,00","74,00",Wales,High/High,"68,17","74,67","82,50",Midfielder,26,,,,,,"22,58783309","4,0",3,,,
aaronramsey,2016,122,436,1.329,23,24,4.692,75,26/12/1990,"181,00","74,00",Wales,High/High,"68,17","74,67","82,50",Midfielder,26,1.329,23,"57,78","122,00","23,00","22,58783309","4,0",3,1,436,122
aaronramsey,2017,44,436,1.945,24,24,4.692,75,26/12/1990,"181,00","74,00",Wales,High/High,"68,17","74,67","82,50",Midfielder,27,2.658,46,"57,78","122,00","23,00","22,58783309","4,0",3,1,872,122
aaronramsey,2017,44,436,1.945,24,24,4.692,75,26/12/1990,"181,00","74,00",Wales,High/High,"68,17","74,67","82,50",Midfielder,27,4.603,70,"65,76","96,00","23,33","22,58783309","4,0",3,0,1.308,44
aaronramsey,2018,157,436,1.418,28,31,4.692,75,26/12/1990,"181,00","74,00",Wales,High/High,"68,17","74,67","82,50",Midfielder,28,6.548,94,"69,66","83,00","23,50","22,58783309","4,0",3,0,1.744,44
aaronramsey,2018,157,436,1.418,28,31,4.692,75,26/12/1990,"181,00","74,00",Wales,High/High,"68,17","74,67","82,50",Midfielder,28,7.966,122,"65,30","97,80","24,40","22,58783309","4,0",3,1,2.180,157
abdelhamidsabiri,2018,95,178,48,2,2,282,7,28/11/1996,"186,00","80,00",Germany,Medium/Medium,"70,75","64,00","65,00",Midfielder,22,,,,,,"23,12406059","3,0",3,,,
aboubakarkamara,2018,42,124,745,13,17,1.102,24,7/03/1995,"177,00","78,50",France,High/Medium,"75,83","67,33","67,33",Forward,23,,,,,,"25,05665677","3,5",2,,,
adamfederici,2016,157,365,190,2,22,190,2,31/01/1985,"188,00","90,00",Australia,Medium/Medium,,,"72,00",Goalkeeper,31,,,,,,"25,46401086","3,0",0,,,
adamidah,2019,28,194,273,12,17,273,12,11/02/2001,"190,00","83,00",Republic of Ireland,High/Medium,"74,50","63,00","64,00",Forward,18,,,,,,"22,99168975","3,5",2,,,
adamlallana,2016,63,413,2.425,31,31,5.339,101,10/05/1988,"175,00","73,00",England,High/High,"70,50","68,83","80,17",Midfielder,28,,,,,,"23,83673469","4,0",3,,,
adamlallana,2017,160,413,285,12,14,5.339,101,10/05/1988,"175,00","73,00",England,High/High,"70,50","68,83","80,17",Midfielder,29,2.425,31,"78,23","63,00","31,00","23,83673469","4,0",3,0,413,63
adamlallana,2018,142,413,505,13,24,5.339,101,10/05/1988,"175,00","73,00",England,High/High,"70,50","68,83","80,17",Midfielder,30,2.710,43,"63,02","111,50","21,50","23,83673469","4,0",3,1,826,160
adamlallana,2020,48,413,1.693,30,31,5.339,101,10/05/1988,"175,00","73,00",England,High/High,"70,50","68,83","80,17",Midfielder,32,3.215,56,"57,41","121,67","18,67","23,83673469","4,0",3,1,1.239,142
adamsmith,2017,49,270,2.194,27,28,9.828,112,29/04/1991,"180,00","79,00",England,High/Medium,"74,00","67,83","73,33",Defender,26,,,,,,"24,38271605","3,5",1,,,
adamsmith,2017,49,270,2.194,27,28,9.828,112,29/04/1991,"180,00","79,00",England,High/Medium,"74,00","67,83","73,33",Goalkeeper,26,2.194,27,"81,26","49,00","27,00","24,38271605","3,5",0,0,270,49
adamsmith,2017,49,270,2.194,27,28,9.828,112,23/11/1992,"186,40","70,00",England,Medium/Medium,,,"62,60",Defender,25,4.388,54,"81,26","49,00","27,00","20,14680690","3,0",1,0,540,49
adamsmith,2017,49,270,2.194,27,28,9.828,112,23/11/1992,"186,40","70,00",England,Medium/Medium,,,"62,60",Goalkeeper,25,6.582,81,"81,26","49,00","27,00","20,14680690","3,0",0,0,810,49
adamsmith,2018,107,270,2.200,25,25,9.828,112,29/04/1991,"180,00","79,00",England,High/Medium,"74,00","67,83","73,33",Defender,27,8.776,108,"81,26","49,00","27,00","24,38271605","3,5",1,0,1.080,49
adamsmith,2018,107,270,2.200,25,25,9.828,112,29/04/1991,"180,00","79,00",England,High/Medium,"74,00","67,83","73,33",Goalkeeper,27,10.976,133,"82,53","60,60","26,60","24,38271605","3,5",0,0,1.350,107
adamsmith,2018,107,270,2.200,25,25,9.828,112,23/11/1992,"186,40","70,00",England,Medium/Medium,,,"62,60",Defender,26,13.176,158,"83,39","68,33","26,33","20,14680690","3,0",1,0,1.620,107
adamsmith,2018,107,270,2.200,25,25,9.828,112,23/11/1992,"186,40","70,00",England,Medium/Medium,,,"62,60",Goalkeeper,26,15.376,183,"84,02","73,86","26,14","20,14680690","3,0",0,0,1.890,107
adamsmith,2019,93,270,2.155,24,24,9.828,112,29/04/1991,"180,00","79,00",England,High/Medium,"74,00","67,83","73,33",Defender,28,17.576,208,"84,50","78,00","26,00","24,38271605","3,5",1,0,2.160,107
adamsmith,2019,93,270,2.155,24,24,9.828,112,29/04/1991,"180,00","79,00",England,High/Medium,"74,00","67,83","73,33",Goalkeeper,28,19.731,232,"85,05","79,67","25,78","24,38271605","3,5",0,0,2.430,93
adamsmith,2019,93,270,2.155,24,24,9.828,112,23/11/1992,"186,40","70,00",England,Medium/Medium,,,"62,60",Defender,27,21.886,256,"85,49","81,00","25,60","20,14680690","3,0",1,0,2.700,93
adamsmith,2019,93,270,2.155,24,24,9.828,112,23/11/1992,"186,40","70,00",England,Medium/Medium,,,"62,60",Goalkeeper,27,24.041,280,"85,86","82,09","25,45","20,14680690","3,0",0,0,2.970,93
adamwebster,2019,31,489,2.815,31,36,5.550,60,4/01/1995,"190,00","75,00",England,Medium/Medium,"66,00","70,83","70,00",Defender,24,,,,,,"20,77562327","3,0",1,,,
adamwebster,2020,16,489,2.735,29,31,5.550,60,4/01/1995,"190,00","75,00",England,Medium/Medium,"66,00","70,83","70,00",Defender,25,2.815,31,"90,81","31,00","31,00","20,77562327","3,0",1,0,489,31
ademolalookman,2018,78,105,701,21,30,4.069,70,20/10/1997,"174,00","76,60",England,High/Medium,"82,60","58,80","69,40",Forward,21,,,,,,"25,30056811","3,5",2,,,
ademolalookman,2020,8,105,2.872,34,34,4.069,70,20/10/1997,"174,00","76,60",England,High/Medium,"82,60","58,80","69,40",Forward,23,701,21,"33,38","78,00","21,00","25,30056811","3,5",2,0,105,78
adnanjanuzaj,2016,42,272,1.715,25,31,1.715,25,5/02/1995,"184,00","75,50",Belgium,Medium/Low,"78,67","54,17","77,50",Midfielder,21,,,,,,"22,30033081","2,5",3,,,
adrianmariappa,2016,52,52,596,7,17,6.575,81,3/10/1986,"179,20","79,40",Jamaica,Medium/Medium,"64,80","71,40","72,80",Defender,30,,,,,,"24,72546636","3,0",1,,,
ahmedelmohamady,2020,54,60,856,14,38,4.703,65,9/09/1987,"182,33","78,00",Egypt,High/Medium,"74,50","72,17","72,33",Defender,33,,,,,,"23,46186111","3,5",1,,,
albianajeti,2019,16,32,175,9,28,175,9,26/02/1997,"183,00","77,33",Switzerland,High/Medium,"76,83","68,83","69,00",Forward,22,,,,,,"23,09215961","3,5",2,,,
aleksandarmitrovic,2017,41,96,119,6,10,5.095,70,16/09/1994,"188,33","84,67",Serbia,Medium/Medium,"61,67","80,83","76,33",Forward,23,,,,,,"23,87031091","3,0",2,,,
aleksandarmitrovic,2020,17,96,1.520,27,30,5.095,70,16/09/1994,"188,33","84,67",Serbia,Medium/Medium,"61,67","80,83","76,33",Forward,26,119,6,"19,83","41,00","6,00","23,87031091","3,0",2,0,96,41
alexandertettey,2019,46,160,2.432,30,33,2.432,30,4/04/1986,"180,00","68,00",Norway,Medium/High,"67,17","79,33","72,67",Midfielder,33,,,,,,"20,98765432","3,5",3,,,
alexandrelacazette,2017,44,151,2.291,32,33,8.906,128,28/05/1991,"175,17","73,67",France,High/High,"83,17","74,50","84,50",Forward,26,,,,,,"24,00866919","4,0",2,,,
alexandrelacazette,2018,19,151,2.635,35,37,8.906,128,28/05/1991,"175,17","73,67",France,High/High,"83,17","74,50","84,50",Forward,27,2.291,32,"71,59","44,00","32,00","24,00866919","4,0",2,0,151,44
alexandrelacazette,2019,48,151,1.965,30,34,8.906,128,28/05/1991,"175,17","73,67",France,High/High,"83,17","74,50","84,50",Forward,28,4.926,67,"73,52","31,50","33,50","24,00866919","4,0",2,0,302,19
alexandrelacazette,2020,1,151,2.015,31,36,8.906,128,28/05/1991,"175,17","73,67",France,High/High,"83,17","74,50","84,50",Forward,29,6.891,97,"71,04","37,00","32,33","24,00866919","4,0",2,0,453,48
alexismacallister,2020,38,38,1.178,21,30,1.550,30,24/12/1998,"175,00","71,00",Argentina,Medium/Medium,"69,50","57,75","70,00",Midfielder,22,,,,,,"23,18367347","3,0",3,,,
alexiwobi,2016,27,63,1.522,26,35,8.771,142,3/05/1996,"181,00","73,50",Nigeria,Medium/Medium,"77,83","63,83","71,83",Forward,20,,,,,,"22,43521260","3,0",2,,,
alexiwobi,2018,1,63,2.072,35,36,8.771,142,3/05/1996,"181,00","73,50",Nigeria,Medium/Medium,"77,83","63,83","71,83",Forward,22,1.522,26,"58,54","27,00","26,00","22,43521260","3,0",2,0,63,27
alexiwobi,2019,35,63,1.657,25,30,8.771,142,3/05/1996,"181,00","73,50",Nigeria,Medium/Medium,"77,83","63,83","71,83",Forward,23,3.594,61,"58,92","14,00","30,50","22,43521260","3,0",2,0,126,1
alexmccarthy,2016,291,368,0,0,9,9.595,101,3/12/1989,"193,00","79,00",England,Medium/Medium,,,"76,00",Goalkeeper,27,,,,,,"21,20862305","3,0",0,,,
alexmccarthy,2018,52,368,2.375,25,33,9.595,101,3/12/1989,"193,00","79,00",England,Medium/Medium,,,"76,00",Goalkeeper,29,0,0,,"291,00","0,00","21,20862305","3,0",0,1,368,291
alexmccarthy,2019,9,368,2.660,28,36,9.595,101,3/12/1989,"193,00","79,00",England,Medium/Medium,,,"76,00",Goalkeeper,30,2.375,25,"95,00","171,50","12,50","21,20862305","3,0",0,0,736,52
alexmccarthy,2020,16,368,2.850,30,37,9.595,101,3/12/1989,"193,00","79,00",England,Medium/Medium,,,"76,00",Goalkeeper,31,5.035,53,"95,00","117,33","17,67","21,20862305","3,0",0,0,1.104,9
alexpritchard,2017,132,191,1.088,14,16,3.261,44,3/05/1993,"171,00","62,00",England,High/Medium,"70,83","51,00","72,50",Midfielder,24,,,,,,"21,20310523","3,5",3,,,
alexpritchard,2018,16,191,2.173,30,37,3.261,44,3/05/1993,"171,00","62,00",England,High/Medium,"70,83","51,00","72,50",Midfielder,25,1.088,14,"77,71","132,00","14,00","21,20310523","3,5",3,1,191,132
alexsmithies,2018,50,50,0,0,26,0,0,5/03/1990,"188,17","88,00",England,Medium/Medium,,,"71,33",Goalkeeper,28,,,,,,"24,85405695","3,0",0,,,
alfiemawson,2018,193,671,1.195,15,19,7.370,80,19/01/1994,"188,33","86,00",England,Medium/High,"54,17","71,00","69,83",Defender,24,,,,,,"24,24622132","3,5",1,,,
alirezajahanbakhsh,2018,68,201,1.075,19,24,2.008,50,11/08/1993,"180,00","77,00",Iran,High/High,"82,17","70,17","74,33",Forward,25,,,,,,"23,76543210","4,0",2,,,
alirezajahanbakhsh,2019,31,201,339,10,19,2.008,50,11/08/1993,"180,00","77,00",Iran,High/High,"82,17","70,17","74,33",Forward,26,1.075,19,"56,58","68,00","19,00","23,76543210","4,0",2,0,201,68
alirezajahanbakhsh,2020,78,201,594,21,27,2.008,50,11/08/1993,"180,00","77,00",Iran,High/High,"82,17","70,17","74,33",Forward,27,1.414,29,"48,76","49,50","14,50","23,76543210","4,0",2,0,402,31
andrearanocchia,2016,11,50,1.404,16,16,1.404,16,16/02/1988,"195,00","81,00",Italy,Low/Medium,"41,33","72,67","75,83",Defender,28,,,,,,"21,30177515","2,5",1,,,
andreaschristensen,2017,12,146,2.178,27,36,6.219,73,10/04/1996,"187,67","77,83",Denmark,Low/Medium,"64,50","69,67","77,17",Defender,21,,,,,,"22,09995299","2,5",1,,,
andreaschristensen,2018,15,146,655,8,30,6.219,73,10/04/1996,"187,67","77,83",Denmark,Low/Medium,"64,50","69,67","77,17",Defender,22,2.178,27,"80,67","12,00","27,00","22,09995299","2,5",1,0,146,12
andreaschristensen,2019,40,146,1.842,21,35,6.219,73,10/04/1996,"187,67","77,83",Denmark,Low/Medium,"64,50","69,67","77,17",Defender,23,2.833,35,"80,94","13,50","17,50","22,09995299","2,5",1,0,292,15
andreaschristensen,2020,54,146,1.544,17,23,6.219,73,10/04/1996,"187,67","77,83",Denmark,Low/Medium,"64,50","69,67","77,17",Defender,24,4.675,56,"83,48","22,33","18,67","22,09995299","2,5",1,0,438,40
andregray,2018,43,102,1.465,29,30,6.251,115,26/06/1991,"180,00","78,00",England,High/Medium,"88,00","73,50","74,50",Forward,27,,,,,,"24,07407407","3,5",2,,,
andrewrobertson,2016,42,79,2.887,33,34,15.150,165,11/03/1994,"178,00","63,67",Scotland,High/High,"82,33","72,67","79,33",Defender,22,,,,,,"20,09426419","4,0",1,,,
andrewrobertson,2017,2,79,2.038,22,27,15.150,165,11/03/1994,"178,00","63,67",Scotland,High/High,"82,33","72,67","79,33",Defender,23,2.887,33,"87,48","42,00","33,00","20,09426419","4,0",1,0,79,42
andrewrobertson,2018,20,79,3.384,36,37,15.150,165,11/03/1994,"178,00","63,67",Scotland,High/High,"82,33","72,67","79,33",Defender,24,4.925,55,"89,55","22,00","27,50","20,09426419","4,0",1,0,158,2
andrewrobertson,2019,11,79,3.278,36,36,15.150,165,11/03/1994,"178,00","63,67",Scotland,High/High,"82,33","72,67","79,33",Defender,25,8.309,91,"91,31","21,33","30,33","20,09426419","4,0",1,0,237,20
andrewrobertson,2020,4,79,3.563,38,38,15.150,165,11/03/1994,"178,00","63,67",Scotland,High/High,"82,33","72,67","79,33",Defender,26,11.587,127,"91,24","18,75","31,75","20,09426419","4,0",1,0,316,11
andrewsurman,2016,106,234,1.927,22,22,5.672,70,20/08/1986,"178,00","73,00",England,Medium/Medium,"59,00","69,40","74,80",Midfielder,30,,,,,,"23,04002020","3,0",3,,,
andrewsurman,2018,82,234,1.522,18,30,5.672,70,20/08/1986,"178,00","73,00",England,Medium/Medium,"59,00","69,40","74,80",Midfielder,32,1.927,22,"87,59","106,00","22,00","23,04002020","3,0",3,0,234,106
andrewsurman,2019,46,234,251,5,29,5.672,70,20/08/1986,"178,00","73,00",England,Medium/Medium,"59,00","69,40","74,80",Midfielder,33,3.449,40,"86,23","94,00","20,00","23,04002020","3,0",3,0,468,82
andriyyarmolenko,2018,222,419,485,9,9,1.979,47,23/10/1989,"189,75","82,50",Ukraine,High/Medium,"71,75","71,25","79,25",Forward,29,,,,,,"22,91344446","3,5",2,,,
andriyyarmolenko,2019,82,419,1.061,23,24,1.979,47,23/10/1989,"189,75","82,50",Ukraine,High/Medium,"71,75","71,25","79,25",Forward,30,485,9,"53,89","222,00","9,00","22,91344446","3,5",2,1,419,222
andriyyarmolenko,2020,53,419,433,15,25,1.979,47,23/10/1989,"189,75","82,50",Ukraine,High/Medium,"71,75","71,25","79,25",Forward,31,1.546,32,"48,31","152,00","16,00","22,91344446","3,5",2,0,838,82
androstownsend,2019,65,65,1.379,24,29,12.810,168,16/07/1991,"180,00","75,67",England,High/High,"82,83","65,00","77,33",Midfielder,28,,,,,,"23,35390947","4,0",3,,,
andycarroll,2016,285,949,1.375,18,19,3.905,82,6/01/1989,"192,33","79,00",England,Medium/High,"54,67","81,83","76,67",Forward,27,,,,,,"21,35590471","3,5",2,,,
andycarroll,2017,99,949,874,16,21,3.905,82,6/01/1989,"192,33","79,00",England,Medium/High,"54,67","81,83","76,67",Forward,28,1.375,18,"76,39","285,00","18,00","21,35590471","3,5",2,1,949,285
andycarroll,2018,337,949,505,12,16,3.905,82,6/01/1989,"192,33","79,00",England,Medium/High,"54,67","81,83","76,67",Forward,29,2.249,34,"66,15","192,00","17,00","21,35590471","3,5",2,0,1.898,99
andycarroll,2019,190,949,708,19,21,3.905,82,6/01/1989,"192,33","79,00",England,Medium/High,"54,67","81,83","76,67",Forward,30,2.754,46,"59,87","240,33","15,33","21,35590471","3,5",2,1,2.847,337
andycarroll,2020,38,949,443,17,35,3.905,82,6/01/1989,"192,33","79,00",England,Medium/High,"54,67","81,83","76,67",Forward,31,3.462,65,"53,26","227,75","16,25","21,35590471","3,5",2,1,3.796,190
angelgomes,2018,10,25,35,2,3,71,5,31/08/2000,"168,25","61,00",England,Medium/Medium,"74,25","40,75","66,00",Midfielder,18,,,,,,"21,54863124","3,0",3,,,
angeloogbonna,2016,200,281,1.850,20,24,12.444,135,23/05/1988,"191,00","86,00",Italy,Medium/Medium,"64,67","75,83","78,33",Defender,28,,,,,,"23,57391519","3,0",1,,,
angeloogbonna,2019,11,281,2.937,31,36,12.444,135,23/05/1988,"191,00","86,00",Italy,Medium/Medium,"64,67","75,83","78,33",Defender,31,1.850,20,"92,50","200,00","20,00","23,57391519","3,0",1,1,281,200
angeloogbonna,2020,70,281,2.628,28,29,12.444,135,23/05/1988,"191,00","86,00",Italy,Medium/Medium,"64,67","75,83","78,33",Defender,32,4.787,51,"93,86","105,50","25,50","23,57391519","3,0",1,0,562,11
anthonyknockaert,2020,20,38,0,0,3,4.521,63,20/11/1991,"172,00","69,00",France,High/High,"74,50","64,17","74,83",Midfielder,29,,,,,,"23,32341806","4,0",3,,,
anthonymartial,2016,7,285,1.582,25,31,9.291,136,5/12/1995,"183,40","76,00",France,Medium/Low,"89,60","73,00","82,80",Forward,21,,,,,,"22,59513444","2,5",2,,,
anthonymartial,2017,14,285,1.671,30,34,9.291,136,5/12/1995,"183,40","76,00",France,Medium/Low,"89,60","73,00","82,80",Forward,22,1.582,25,"63,28","7,00","25,00","22,59513444","2,5",2,0,285,7
anthonymartial,2018,55,285,1.704,27,30,9.291,136,5/12/1995,"183,40","76,00",France,Medium/Low,"89,60","73,00","82,80",Forward,23,3.253,55,"59,15","10,50","27,50","22,59513444","2,5",2,0,570,14
anthonymartial,2019,74,285,2.723,32,32,9.291,136,5/12/1995,"183,40","76,00",France,Medium/Low,"89,60","73,00","82,80",Forward,24,4.957,82,"60,45","25,33","27,33","22,59513444","2,5",2,0,855,55
anthonymartial,2020,135,285,1.611,22,23,9.291,136,5/12/1995,"183,40","76,00",France,Medium/Low,"89,60","73,00","82,80",Forward,25,7.680,114,"67,37","37,50","28,50","22,59513444","2,5",2,0,1.140,74
antoneerobinson,2020,10,194,2.338,28,31,2.338,28,8/08/1997,"182,00","67,00",United States,Medium/Medium,"85,50","63,25","68,00",Defender,23,,,,,,"20,22702572","3,0",1,,,
anwarelghazi,2019,14,25,2.148,34,37,3.848,62,3/05/1995,"189,00","88,83",Netherlands,Medium/Low,"78,83","70,17","74,83",Midfielder,24,,,,,,"24,86865803","2,5",3,,,
arongunnarsson,2018,79,332,2.368,28,31,2.368,28,22/04/1989,"177,40","76,40",Iceland,Medium/High,"61,80","75,60","70,80",Midfielder,29,,,,,,"24,27650301","3,5",3,,,
arthurmasuaku,2016,160,321,1.026,13,16,6.938,92,7/11/1993,"179,00","70,00",DR Congo,High/Medium,"85,00","71,50","75,67",Defender,23,,,,,,"21,84700852","3,5",1,,,
arthurmasuaku,2018,40,321,1.862,23,35,6.938,92,7/11/1993,"179,00","70,00",DR Congo,High/Medium,"85,00","71,50","75,67",Defender,25,1.026,13,"78,92","160,00","13,00","21,84700852","3,5",1,1,321,160
arthurmasuaku,2019,24,321,1.030,17,24,6.938,92,7/11/1993,"179,00","70,00",DR Congo,High/Medium,"85,00","71,50","75,67",Defender,26,2.888,36,"80,22","100,00","18,00","21,84700852","3,5",1,0,642,40
arthurmasuaku,2020,97,321,1.045,12,12,6.938,92,7/11/1993,"179,00","70,00",DR Congo,High/Medium,"85,00","71,50","75,67",Defender,27,3.918,53,"73,92","74,67","17,67","21,84700852","3,5",1,0,963,24
arturboruc,2016,13,13,3.325,35,35,4.465,47,20/02/1980,"193,00","87,17",Poland,Medium/Medium,,,"75,33",Goalkeeper,36,,,,,,"23,40107564","3,0",0,,,
ashleybarnes,2016,96,468,1.861,28,28,9.479,142,30/10/1989,"186,00","80,17",Austria,High/High,"65,33","79,67","74,67",Forward,27,,,,,,"23,17223571","4,0",2,,,
ashleybarnes,2017,64,468,2.302,36,37,9.479,142,30/10/1989,"186,00","80,17",Austria,High/High,"65,33","79,67","74,67",Forward,28,1.861,28,"66,46","96,00","28,00","23,17223571","4,0",2,0,468,96
ashleybarnes,2019,299,468,1.396,19,19,9.479,142,30/10/1989,"186,00","80,17",Austria,High/High,"65,33","79,67","74,67",Forward,30,4.163,64,"65,05","80,00","32,00","23,17223571","4,0",2,0,936,64
ashleybarnes,2020,9,468,1.396,22,25,9.479,142,30/10/1989,"186,00","80,17",Austria,High/High,"65,33","79,67","74,67",Forward,31,5.559,83,"66,98","153,00","27,67","23,17223571","4,0",2,1,1.404,299
ashleywestwood,2019,24,36,3.325,35,35,11.680,135,1/04/1990,"172,17","70,00",England,Medium/Medium,"62,50","69,33","75,50",Defender,29,,,,,,"23,61564968","3,0",1,,,
ashleywestwood,2019,24,36,3.325,35,35,11.680,135,1/04/1990,"172,17","70,00",England,Medium/Medium,"62,50","69,33","75,50",Midfielder,29,3.325,35,"95,00","24,00","35,00","23,61564968","3,0",3,0,36,24
ashleywestwood,2020,12,36,3.596,38,38,11.680,135,1/04/1990,"172,17","70,00",England,Medium/Medium,"62,50","69,33","75,50",Defender,30,6.650,70,"95,00","24,00","35,00","23,61564968","3,0",1,0,72,24
ashleywestwood,2020,12,36,3.596,38,38,11.680,135,1/04/1990,"172,17","70,00",England,Medium/Medium,"62,50","69,33","75,50",Midfielder,30,10.246,108,"94,87","20,00","36,00","23,61564968","3,0",3,0,108,12
ashleyyoung,2016,118,125,804,12,21,7.134,84,9/07/1985,"175,00","65,00",England,High/Medium,"76,17","64,00","78,00",Defender,31,,,,,,"21,22448980","3,5",1,,,
ashleyyoung,2018,7,125,2.752,30,36,7.134,84,9/07/1985,"175,00","65,00",England,High/Medium,"76,17","64,00","78,00",Defender,33,804,12,"67,00","118,00","12,00","21,22448980","3,5",1,0,125,118
asmirbegovic,2018,13,17,2.280,24,36,6.080,64,20/06/1987,"199,33","86,00",Bosnia Herzegovina,Medium/Medium,,,"79,33",Goalkeeper,31,,,,,,"21,64405320","3,0",0,,,
axeltuanzebe,2019,113,333,210,5,14,955,18,14/11/1997,"185,00","73,20",England,Medium/Medium,"76,40","72,60","71,80",Defender,22,,,,,,"21,38787436","3,0",1,,,
axeltuanzebe,2020,123,333,427,8,30,955,18,14/11/1997,"185,00","73,20",England,Medium/Medium,"76,40","72,60","71,80",Defender,23,210,5,"42,00","113,00","5,00","21,38787436","3,0",1,0,333,113
aymericlaporte,2018,14,358,3.227,35,36,6.636,75,27/05/1994,"189,00","85,00",France,Medium/Medium,"66,50","79,00","84,67",Defender,24,,,,,,"23,79552644","3,0",1,,,
aymericlaporte,2019,281,358,1.139,15,17,6.636,75,27/05/1994,"189,00","85,00",France,Medium/Medium,"66,50","79,00","84,67",Defender,25,3.227,35,"92,20","14,00","35,00","23,79552644","3,0",1,0,358,14
aymericlaporte,2020,28,358,1.423,16,28,6.636,75,27/05/1994,"189,00","85,00",France,Medium/Medium,"66,50","79,00","84,67",Defender,26,4.366,50,"87,32","147,50","25,00","23,79552644","3,0",1,1,716,281
bacarysagna,2016,163,254,1.425,17,24,1.425,17,14/02/1983,"176,00","72,50",France,High/Medium,"70,25","77,25","77,00",Defender,33,,,,,,"23,40521694","3,5",1,,,
bakarysako,2016,79,350,171,7,21,753,27,26/04/1988,"183,67","90,33",Mali,High/Medium,"80,00","76,00","74,00",Midfielder,28,,,,,,"26,77856792","3,5",3,,,
bakarysako,2017,255,350,538,16,20,753,27,26/04/1988,"183,67","90,33",Mali,High/Medium,"80,00","76,00","74,00",Midfielder,29,171,7,"24,43","79,00","7,00","26,77856792","3,5",3,0,350,79
bakarysako,2018,16,350,44,4,7,753,27,26/04/1988,"183,67","90,33",Mali,High/Medium,"80,00","76,00","74,00",Midfielder,30,709,23,"30,83","167,00","11,50","26,77856792","3,5",3,1,700,255
bartoszkapustka,2016,2,282,0,0,8,0,0,23/12/1996,"179,00","67,00",Poland,Medium/Medium,"78,00","53,50","69,33",Midfielder,20,,,,,,"20,91070816","3,0",3,,,
bastianschweinsteiger,2016,9,38,0,0,4,0,0,1/08/1984,"183,00","79,00",Germany,Medium/Medium,"42,60","74,80","81,20",Midfielder,32,,,,,,"23,58983547","3,0",3,,,
